bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
1.16649,1.16653,1.16654,1.16639,1.16658,1.16662,1.16663,1.16646,223
1.16653,1.1667,1.16681,1.16653,1.16662,1.16679,1.1669,1.16662,299
1.1667,1.16719,1.16733,1.16667,1.16679,1.16728,1.16741,1.16675,949
1.16719,1.16748,1.16754,1.16703,1.16728,1.16758,1.16763,1.16713,1037
1.16748,1.16774,1.16777,1.16747,1.16758,1.16783,1.16787,1.16756,693
1.16774,1.1676,1.16792,1.16756,1.16783,1.16769,1.16802,1.16765,556
1.1676,1.16762,1.1678,1.16745,1.16769,1.16771,1.16789,1.16754,508
1.16762,1.16763,1.16773,1.16747,1.16771,1.1677,1.16782,1.16755,377
1.16763,1.16758,1.16764,1.16748,1.1677,1.16767,1.16772,1.16756,292
1.16758,1.16778,1.1678,1.16757,1.16767,1.16785,1.16789,1.16766,308
1.16778,1.16768,1.16783,1.16764,1.16785,1.16777,1.16791,1.16772,212
1.16768,1.16774,1.16778,1.16756,1.16777,1.16783,1.16786,1.16765,342
1.16774,1.16743,1.16776,1.16735,1.16783,1.16752,1.16784,1.16743,696
1.16743,1.16754,1.16755,1.16717,1.16752,1.16763,1.16764,1.16727,741
1.16754,1.16732,1.16759,1.16731,1.16763,1.16742,1.16769,1.1674,695
1.16732,1.16743,1.16748,1.16722,1.16742,1.16752,1.16757,1.1673,315
1.16743,1.16741,1.16759,1.16726,1.16752,1.1675,1.16769,1.16734,423
1.16741,1.16733,1.16741,1.16729,1.1675,1.16742,1.1675,1.16736,242
1.16733,1.16739,1.16742,1.16724,1.16742,1.16747,1.1675,1.16733,198
1.16739,1.16763,1.16768,1.16734,1.16747,1.16771,1.16776,1.16742,279
1.16763,1.16859,1.16859,1.16757,1.16771,1.16867,1.16868,1.16765,924
1.16859,1.16859,1.16868,1.16853,1.16867,1.16867,1.16877,1.16862,361
1.16859,1.16861,1.16869,1.16855,1.16867,1.1687,1.16876,1.16864,358
1.16861,1.16888,1.16889,1.16853,1.1687,1.16897,1.16897,1.16862,525
1.16888,1.169,1.16906,1.16871,1.16897,1.16908,1.16913,1.16879,706
1.169,1.16889,1.16908,1.16862,1.16908,1.16899,1.16916,1.16871,823
1.16889,1.16883,1.16904,1.16873,1.16899,1.16891,1.16913,1.16882,523
1.16883,1.16894,1.16904,1.16862,1.16891,1.16902,1.16912,1.16869,696
1.16894,1.16889,1.16902,1.16871,1.16902,1.16896,1.16911,1.16878,422
1.16889,1.16886,1.16892,1.16851,1.16896,1.16894,1.169,1.1686,784
1.16886,1.16859,1.16893,1.16856,1.16894,1.16868,1.16901,1.16864,500
1.16859,1.16863,1.16864,1.16852,1.16868,1.16872,1.16873,1.16862,156
